2013-12-16 20:43:51 install liblzma5:armel <none> 5.1.1alpha+20120614-2
2013-12-16 20:43:51 status half-installed liblzma5:armel 5.1.1alpha+20120614-2
2013-12-16 20:43:51 status unpacked liblzma5:armel 5.1.1alpha+20120614-2
2013-12-16 20:43:51 status unpacked liblzma5:armel 5.1.1alpha+20120614-2
2013-12-16 20:43:51 install multiarch-support:armel <none> 2.13-38
2013-12-16 20:43:51 status half-installed multiarch-support:armel 2.13-38
2013-12-16 20:43:51 status unpacked multiarch-support:armel 2.13-38
2013-12-16 20:43:51 status unpacked multiarch-support:armel 2.13-38
2013-12-16 20:43:51 upgrade mawk:armel 1.3.3-17 1.3.3-17
2013-12-16 20:43:51 status half-configured mawk:armel 1.3.3-17
2013-12-16 20:43:51 status unpacked mawk:armel 1.3.3-17
2013-12-16 20:43:51 status half-installed mawk:armel 1.3.3-17
2013-12-16 20:43:51 status half-installed mawk:armel 1.3.3-17
2013-12-16 20:43:51 status unpacked mawk:armel 1.3.3-17
2013-12-16 20:43:51 status unpacked mawk:armel 1.3.3-17
2013-12-16 20:43:52 install ncurses-base:all <none> 5.9-10
2013-12-16 20:43:52 status half-installed ncurses-base:all 5.9-10
2013-12-16 20:43:52 status unpacked ncurses-base:all 5.9-10
2013-12-16 20:43:52 status unpacked ncurses-base:all 5.9-10
2013-12-16 20:43:52 install ncurses-bin:armel <none> 5.9-10
2013-12-16 20:43:52 status half-installed ncurses-bin:armel 5.9-10
2013-12-16 20:43:52 status unpacked ncurses-bin:armel 5.9-10
2013-12-16 20:43:52 status unpacked ncurses-bin:armel 5.9-10
2013-12-16 20:43:52 upgrade perl-base:armel 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2013-12-16 20:43:52 status half-configured perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:52 status unpacked perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:52 status half-installed perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:54 status half-installed perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:54 status unpacked perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:54 status unpacked perl-base:armel 5.14.2-21+deb7u1
2013-12-16 20:43:55 install sed:armel <none> 4.2.1-10
2013-12-16 20:43:55 status half-installed sed:armel 4.2.1-10
2013-12-16 20:43:55 status unpacked sed:armel 4.2.1-10
2013-12-16 20:43:55 status unpacked sed:armel 4.2.1-10
2013-12-16 20:43:55 install sensible-utils:all <none> 0.0.7
